a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
1.2768,0.0496,1646.82,374.87,-4.6136,6.2705,1.5496,1.81,0.1196,8.1724,2.6532,1.54E+11,34.0036,SS
1.2777,0.0492,1653.71,376.66,-3.6147,6.1025,1.7886,1.8048,0.1158,8,2.5596,1.54E+11,34.0036,SS
1.278,0.0518,1735.29,414.46,-7.1953,5.641,1.7118,1.7692,0.12,7.3077,2.4615,1.53E+11,34.7699,SS
1.2783,0.0517,1671.9,370.81,-7.6686,5.9054,1.7118,1.8031,0.1153,7.7692,2.4543,1.56E+11,36.0926,SS
1.2795,0.0515,1634.73,382.92,-5.2169,6.3796,1.5561,1.8066,0.1214,8.0847,2.714,1.52E+11,35.1702,SS
1.2798,0.0537,1667.48,386.02,-7.1389,5.9164,1.7482,1.7925,0.1156,7.5833,2.4986,1.54E+11,36.4063,SS
1.28,0.0357,1691.82,246.83,-0.4898,3.9036,1.5498,1.7586,0.1548,8.4286,1.7613,1.53E+11,24.3277,SS
1.2804,0.0534,1698.23,410.17,-7.5556,5.9007,1.7482,1.7783,0.1205,7.4167,2.5317,1.53E+11,36.1325,SS
1.2806,0.0533,1663.89,384.87,-7.8333,6.052,1.7482,1.7967,0.1178,7.6667,2.5276,1.54E+11,36.8857,SS
1.2808,0.0344,1801.8,215.39,-8.96,4.3049,1.6094,1.76,0.1434,7.8,1.7205,1.62E+11,22.2711,SS
1.282,0.053170061,1623.04,390.17978,-5.777777778,6.473169273,1.560710409,1.803333333,0.122972445,8,2.768874621,1.51E+11,36.21693895,SS
1.2821,0.047,1758.03,321.27,-5.5057,3.7555,1.4818,1.7193,0.1297,7.186,1.6461,1.51E+11,29.2979,SS
1.282338983,0.054909985,1709.814407,339.9148922,-6.42344154,7.597097364,1.895815043,1.796779661,0.126242176,7.983050847,2.500789878,1.55E+11,30.95770947,SS
1.2824,0.0333,1875.6,263.7,-9.12,4.3592,1.6094,1.726,0.1429,7.4,1.8547,1.60E+11,21.9089,SS
